"participant"	"item"	"context"	"rpitch"	"rintensity"	"rduration"	"prominence"	"trial"	"text"
"48"	"1178"	"1"	"Alternative"	280.062566101729	4.18	0.22314355131421	"Adjective"	34	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"49"	"1179"	"1"	"Alternative"	-4.16125634974234	1.08	-0.456758402495715	"Noun"	26	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"50"	"1180"	"1"	"Alternative"	73.4503738804874	3.145	-0.872488109215762	"Noun"	4	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"51"	"264"	"1"	"Alternative"	-113.690313816471	-1.508	-0.371563556432483	"Adjective"	23	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"52"	"741"	"1"	"Alternative"	-41.2076261730411	0.294999999999987	-0.630626823578611	"Adjective"	11	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"53"	"820"	"1"	"Alternative"	451.99976510859	6.717	-0.606135803570316	"Adjective"	32	"My friend Mary is a bit of a snob, and despises bad wine, and also bad food. So guess what she brought for last night's dinner: A good wine. "
"54"	"1004"	"10"	"New"	1116.30039408718	-3.854	-0.908855753386637	"Adjective"	5	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"55"	"1050"	"10"	"New"	NA	0.132000000000005	-0.369747025506085	"Noun"	7	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"56"	"1169"	"10"	"New"	341.462524279488	-1.44	-0.693147180559945	"Noun"	20	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"57"	"1170"	"10"	"New"	128.369561603663	3.187	-0.613104472886409	"Adjective"	30	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"58"	"1171"	"10"	"New"	NA	-3.5	-0.382992252256106	"Noun"	16	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"59"	"1172"	"10"	"New"	434.835159575582	-1.062	-1.09861228866811	"Noun"	26	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"60"	"1173"	"10"	"New"	11.7429525660508	-0.11399999999999	-0.996333439547692	"Noun"	22	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
"61"	"1174"	"10"	"New"	17.941299345425	-1.27799999999999	-0.510825623765991	"Noun"	27	"Ruth was promoted, her first task was to hire some staff for her office, which is difficult. Still, in the end she succeeded: She hired a nice assistant."
